Act Title,PDF URL
"Hazardous Waste (Control of Export, Import and Transit) Act 1997",https://sso.agc.gov.sg/Act/HWCEITA1997?ViewType=Pdf&_=20241129095053
Health Products Act 2007,https://sso.agc.gov.sg/Act/HPA2007?ViewType=Pdf&_=20241205120034
Health Promotion Board Act 2001,https://sso.agc.gov.sg/Act/HPBA2001?ViewType=Pdf&_=20240412130938
Health Sciences Authority Act 2001,https://sso.agc.gov.sg/Act/HSAA2001?ViewType=Pdf&_=20240319023519
Healthcare Services Act 2020,https://sso.agc.gov.sg/Act/HSA2020?ViewType=Pdf&_=20241205122720
High Court (Admiralty Jurisdiction) Act 1961,https://sso.agc.gov.sg/Act/HCAJA1961?ViewType=Pdf&_=20241115113221
Hijacking of Aircraft and Protection of Aircraft and International Airports Act 1978,https://sso.agc.gov.sg/Act/HAPAIAA1978?ViewType=Pdf&_=20230404122816
Hindu Endowments Act 1968,https://sso.agc.gov.sg/Act/HEA1968?ViewType=Pdf&_=20241028200833
Hire-Purchase Act 1969,https://sso.agc.gov.sg/Act/HPA1969?ViewType=Pdf&_=20250102154440
Holidays Act 1998,https://sso.agc.gov.sg/Act/HA1998?ViewType=Pdf&_=20240814125854
Home Affairs Uniformed Services Superannuation Act 2001,https://sso.agc.gov.sg/Act/HAUSSA2001?ViewType=Pdf&_=20240814193333
Home Team Corps Act 2017,https://sso.agc.gov.sg/Act/HTCA2017?ViewType=Pdf&_=20250403152525
Home Team Science and Technology Agency Act 2019,https://sso.agc.gov.sg/Act/HTSTAA2019?ViewType=Pdf&_=20240228122535
Homes for the Aged Act 1988,https://sso.agc.gov.sg/Act/HAA1988?ViewType=Pdf&_=20250509142431
Hostage-Taking Act 2010,https://sso.agc.gov.sg/Act/HTA2010?ViewType=Pdf&_=20250308183538
Hotels Act 1954,https://sso.agc.gov.sg/Act/HA1954?ViewType=Pdf&_=20241129091724
House to House and Street Collections Act 1947,https://sso.agc.gov.sg/Act/HHSCA1947?ViewType=Pdf&_=20241115110927
Housing and Development Act 1959,https://sso.agc.gov.sg/Act/HDA1959?ViewType=Pdf&_=20250527155618
Housing Developers (Control and Licensing) Act 1965,https://sso.agc.gov.sg/Act/HDCLA1965?ViewType=Pdf&_=20250308213736
Human Biomedical Research Act 2015,https://sso.agc.gov.sg/Act/HBRA2015?ViewType=Pdf&_=20241101200204
Human Cloning and Other Prohibited Practices Act 2004,https://sso.agc.gov.sg/Act/HCOPPA2004?ViewType=Pdf&_=20231213133824
Human Organ Transplant Act 1987,https://sso.agc.gov.sg/Act/HOTA1987?ViewType=Pdf&_=20240613135354
Hydrogen Cyanide (Fumigation) Act 1947,https://sso.agc.gov.sg/Act/HCFA1947?ViewType=Pdf&_=20241115110927
Immigration Act 1959,https://sso.agc.gov.sg/Act/IA1959?ViewType=Pdf&_=20250102161918
Income Tax Act 1947,https://sso.agc.gov.sg/Act/ITA1947?ViewType=Pdf&_=20250515025736
Independence of Singapore Agreement 1965,https://sso.agc.gov.sg/Act/ISA1965?ViewType=Pdf&_=20250529104628
Industrial Relations Act 1960,https://sso.agc.gov.sg/Act/IRA1960?ViewType=Pdf&_=20250308213736
Infectious Diseases Act 1976,https://sso.agc.gov.sg/Act/IDA1976?ViewType=Pdf&_=20250509142823
Info-communications Media Development Authority Act 2016,https://sso.agc.gov.sg/Act/IMDAA2016?ViewType=Pdf&_=20250308180343
Infrastructure Protection Act 2017,https://sso.agc.gov.sg/Act/IPA2017?ViewType=Pdf&_=20250326180801
Inheritance (Family Provision) Act 1966,https://sso.agc.gov.sg/Act/IFPA1966?ViewType=Pdf&_=20250509135318
Inland Revenue Authority of Singapore Act 1992,https://sso.agc.gov.sg/Act/IRASA1992?ViewType=Pdf&_=20250320034213
Innkeepers Act 1970,https://sso.agc.gov.sg/Act/IA1970?ViewType=Pdf&_=20240108134710
Inquiries Act 2007,https://sso.agc.gov.sg/Act/IA2007?ViewType=Pdf&_=20231229163045
"Insolvency, Restructuring and Dissolution Act 2018",https://sso.agc.gov.sg/Act/IRDA2018?ViewType=Pdf&_=20250318190812
Institute of Technical Education Act 1992,https://sso.agc.gov.sg/Act/ITEA1992?ViewType=Pdf&_=20241205123812
Insurance Act 1966,https://sso.agc.gov.sg/Act/IA1966?ViewType=Pdf&_=20250308213736
Intellectual Property Office of Singapore Act 2001,https://sso.agc.gov.sg/Act/IPOSA2001?ViewType=Pdf&_=20240703145034
